Date,Open,High,Low,Close,Adj Close,Volume
2010-11-25,59.099998,60.000000,58.840000,59.900002,40.911900,1992241
2010-11-26,59.310001,59.759998,58.130001,59.250000,40.467949,2301565
2010-11-29,59.750000,59.910000,57.740002,57.740002,39.436615,2266241
2010-11-30,57.700001,59.240002,57.220001,57.930000,39.566383,3330930
2010-12-01,58.349998,60.900002,58.349998,60.900002,41.594902,3533953
2010-12-02,61.689999,63.799999,61.549999,63.799999,43.575611,4412518
2010-12-03,63.700001,65.489998,63.480000,63.689999,43.500477,2999655
2010-12-06,64.000000,64.529999,62.750000,62.810001,42.899437,2530327
2010-12-07,63.000000,64.489998,62.400002,63.980000,43.698551,2748638
2010-12-08,63.500000,63.500000,61.900002,61.900002,42.277908,3157849
2010-12-09,62.419998,62.660000,58.880001,60.200001,41.116795,5442032
2010-12-10,60.500000,62.990002,60.389999,62.520000,42.701366,3097184
2010-12-13,62.000000,63.439999,62.000000,63.439999,43.329723,1871774
2010-12-14,63.400002,63.439999,62.139999,62.470001,42.667210,1818675
2010-12-15,62.000000,62.830002,61.400002,62.490002,42.680878,1475533
2010-12-16,62.400002,63.259998,61.790001,62.799999,42.892605,1602021
2010-12-17,62.950001,63.150002,61.799999,61.950001,42.312057,2848191
2010-12-20,61.900002,63.230000,61.639999,63.150002,43.131657,1586810
2010-12-21,63.400002,64.800003,62.919998,64.800003,44.258610,1808112
2010-12-22,64.980003,65.110001,64.300003,64.370003,43.964928,1257052
2010-12-23,64.550003,64.690002,63.240002,63.259998,43.206791,1114917
2010-12-27,62.700001,62.700001,59.119999,59.220001,40.447453,3488989
2010-12-28,59.689999,59.980000,57.660000,58.250000,39.784946,3100661
2010-12-29,58.099998,58.919998,58.080002,58.720001,40.105957,1400695
2010-12-30,59.099998,59.470001,58.619999,58.849998,40.194744,1077112
2011-01-03,59.259998,61.450001,59.070000,61.450001,41.970554,2101012
2011-01-04,61.500000,61.740002,60.020000,60.740002,41.485619,2266190
2011-01-05,60.500000,60.930000,58.220001,60.029999,41.000687,3913153
2011-01-06,60.000000,61.180000,59.660000,59.900002,40.911900,2101823
2011-01-07,59.509998,60.090000,58.540001,59.310001,40.508926,2776312
2011-01-10,58.799999,59.400002,58.360001,58.470001,39.935207,1950108
2011-01-11,58.360001,59.990002,58.150002,59.660000,40.747974,2540226
2011-01-12,59.689999,60.570000,58.930000,59.320000,40.515755,2220002
2011-01-13,59.250000,59.540001,57.610001,57.680000,39.395634,3123094
2011-01-14,57.500000,59.020000,56.790001,58.939999,40.256214,4078219
2011-01-17,58.799999,59.500000,58.220001,58.549999,39.989849,1615997
2011-01-18,58.980000,59.939999,58.270000,58.750000,40.126446,3142418
2011-01-19,58.869999,58.919998,57.330002,57.860001,39.518574,4434169
2011-01-20,57.570000,57.700001,55.220001,55.509998,37.913513,4670268
2011-01-21,55.770000,56.689999,54.169998,55.700001,38.043285,5366862
2011-01-24,55.599998,55.830002,54.400002,55.230000,37.722275,2825547
2011-01-25,55.770000,56.730000,55.349998,56.080002,38.302826,2587932
2011-01-26,56.509998,57.549999,56.180000,56.950001,38.897041,3016559
2011-01-27,56.900002,57.970001,56.669998,57.310001,39.142921,2516008
2011-01-28,58.700001,58.950001,57.060001,57.099998,38.999489,3788334
2011-01-31,56.880001,56.910000,55.439999,56.080002,38.302826,2796644
2011-02-01,57.029999,57.110001,55.970001,56.509998,38.596516,2394850
2011-02-02,56.849998,58.240002,56.130001,56.470001,38.569199,3190674
2011-02-03,56.410000,57.330002,55.230000,57.330002,39.156582,2485234
2011-02-04,57.750000,57.900002,56.450001,56.849998,38.828739,1952374
2011-02-07,57.000000,58.869999,56.549999,58.849998,40.194744,2575937
2011-02-08,59.029999,61.650002,58.860001,61.590000,42.066177,5588838
2011-02-09,61.450001,62.419998,60.759998,61.290001,41.861271,3492106
2011-02-10,60.919998,61.810001,60.400002,61.709999,42.148129,2534881
2011-02-11,61.250000,63.439999,61.099998,63.139999,43.124828,2734862
